text,entities,type
Maharashtra State Bank submitted invoices from its Chennai office.,"[[0, 22, ""ORG""], [51, 58, ""GPE""]]",multi_entity
Ravi Deshmukh and Vikram Joshi met representatives of Apex Distributors in Mumbai.,"[[0, 13, ""PERSON""], [18, 30, ""PERSON""], [54, 71, ""ORG""], [75, 81, ""GPE""]]",complex
Funds moved from an account linked to Dev Malhotra into KS Electronics.,"[[38, 50, ""PERSON""], [56, 70, ""ORG""]]",multi_entity
Investigators compared the surveillance record with records from Nova Components.,"[[65, 80, ""ORG""]]",contrastive_negative
Mohammed Arif Khan worked with Metro Logistics Pvt Ltd in Jaipur.,"[[0, 18, ""PERSON""], [31, 54, ""ORG""], [58, 64, ""GPE""]]",multi_entity
The team reviewed the arrest memo before questioning Sameer Khan.,"[[53, 64, ""PERSON""]]",hard_negative
Maharashtra State Bank submitted invoices from its Hyderabad office.,"[[0, 22, ""ORG""], [51, 60, ""GPE""]]",multi_entity
Mohammed Arif Khan worked with KS Electronics in Ahmedabad.,"[[0, 18, ""PERSON""], [31, 45, ""ORG""], [49, 58, ""GPE""]]",multi_entity
The Case File contained references to M. A. Khan and Maharashtra State Bank.,"[[38, 48, ""PERSON""], [53, 75, ""ORG""]]",contrastive_negative
The vehicle associated with Sameer Khan was found near Bandra Kurla Complex.,"[[28, 39, ""PERSON""], [55, 75, ""LOC""]]",multi_entity
Ananya Sharma and Mohit Chawla met representatives of Nova Components in Lucknow.,"[[0, 13, ""PERSON""], [18, 30, ""PERSON""], [54, 69, ""ORG""], [73, 80, ""GPE""]]",complex
City Cargo Services submitted invoices from its Jaipur office.,"[[0, 19, ""ORG""], [48, 54, ""GPE""]]",multi_entity
Maharashtra State Bank submitted invoices from its Delhi office.,"[[0, 22, ""ORG""], [51, 56, ""GPE""]]",multi_entity
Vikram Joshi was observed outside DM Trading Services in Delhi.,"[[0, 12, ""PERSON""], [34, 53, ""ORG""], [57, 62, ""GPE""]]",multi_entity
Imran Sheikh and R K Sharma met representatives of Western Freight Solutions in Thane.,"[[0, 12, ""PERSON""], [17, 27, ""PERSON""], [51, 76, ""ORG""], [80, 85, ""GPE""]]",complex
Ananya Sharma worked with Nova Components in Surat.,"[[0, 13, ""PERSON""], [26, 41, ""ORG""], [45, 50, ""GPE""]]",multi_entity
Priya Nair appeared in the CCTV records.,"[[0, 10, ""PERSON""]]",hard_negative
The team reviewed the Call Detail Records before questioning M. A. Khan.,"[[61, 71, ""PERSON""]]",hard_negative
Shakti Traders operates a warehouse in Pune.,"[[0, 14, ""ORG""], [39, 43, ""GPE""]]",multi_entity
Maharashtra State Bank rented space at Andheri Commercial Complex.,"[[0, 22, ""ORG""], [39, 65, ""FAC""]]",facility_context
Dev Malhotra appeared in the financial records.,"[[0, 12, ""PERSON""]]",hard_negative
Arjun Patel was observed outside Nova Components in Lucknow.,"[[0, 11, ""PERSON""], [33, 48, ""ORG""], [52, 59, ""GPE""]]",multi_entity
Karan Sethi travelled from Delhi to Jaipur with S. Iyer.,"[[0, 11, ""PERSON""], [27, 32, ""GPE""], [36, 42, ""GPE""], [48, 55, ""PERSON""]]",complex
"The vehicle movement record mentioned S. Iyer, Karan Sethi, and Nova Components.","[[38, 45, ""PERSON""], [47, 58, ""PERSON""], [64, 79, ""ORG""]]",complex
The financial records contained references to Dev Malhotra and National Freight Corporation.,"[[46, 58, ""PERSON""], [63, 91, ""ORG""]]",contrastive_negative
Police located Mohit Chawla near Dharavi.,"[[15, 27, ""PERSON""], [33, 40, ""LOC""]]",multi_entity
City Cargo Services submitted invoices from its Bengaluru office.,"[[0, 19, ""ORG""], [48, 57, ""GPE""]]",multi_entity
The mobile extraction report mentioned Rohan Mehta.,"[[39, 50, ""PERSON""]]",hard_negative
Nova Components maintained an office in Indore.,"[[0, 15, ""ORG""], [40, 46, ""GPE""]]",org_context
The CCTV record mentioned Mohit Chawla.,"[[26, 38, ""PERSON""]]",hard_negative
Mohammed Arif Khan transferred money to Western Freight Solutions from Delhi.,"[[0, 18, ""PERSON""], [40, 65, ""ORG""], [71, 76, ""GPE""]]",multi_entity
The FIR record contained references to Suresh Iyer and Metro Logistics Pvt Ltd.,"[[39, 50, ""PERSON""], [55, 78, ""ORG""]]",contrastive_negative
Investigators compared the CCTV footage with records from National Freight Corporation.,"[[58, 86, ""ORG""]]",contrastive_negative
